adjustment_reason,ai_adjustment_confidence,ai_adjustment_effect_status,ai_adjustment_score,ai_reliability_weight,code,combined_adjustment,compliance_disclaimer,confidence,created_at,current_price,date,effective_news_adjustment,evidence_chunk_ids,evidence_news_ids,model_name,news_adjustment,original_pred_rank,original_pred_score,original_rank,original_score,original_target_weight,position_adjustment_ratio,rank,reason,risk_warning,score,score_breakdown,stock_code,stock_name,target_weight,trade_date,triggered_rules,user_adjustment,user_id
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,603260,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,46.39,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,1,1.0,1,1.0,0.08,1.0,1,"Model score normalized to 1.000. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,1.0,"{""model_score_norm"": 1.0, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",603260,合盛硅业,0.08,2026-06-15,[],0.0,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,600183,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,166.41,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,2,0.9965753424657534,2,0.9965753424657534,0.08,1.0,2,"Model score normalized to 0.997. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.9965753424657534,"{""model_score_norm"": 0.9965718118909759, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",600183,生益科技,0.08,2026-06-15,[],0.0,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,600176,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,45.77,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,3,0.9931506849315068,3,0.9931506849315068,0.08,1.0,3,"Model score normalized to 0.993. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.9931506849315068,"{""model_score_norm"": 0.9931436237819515, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",600176,中国巨石,0.08,2026-06-15,[],0.0,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,600498,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,67.83,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,4,0.9897260273972602,4,0.9897260273972602,0.08,1.0,4,"Model score normalized to 0.990. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.9897260273972602,"{""model_score_norm"": 0.9897154356729274, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",600498,烽火通信,0.08,2026-06-15,[],0.0,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,300408,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,150.25,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,5,0.9863013698630136,5,0.9863013698630136,0.08,1.0,5,"Model score normalized to 0.986. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.9863013698630136,"{""model_score_norm"": 0.9862872475639033, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",300408,三环集团,0.08,2026-06-15,[],0.0,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,300433,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,45.98,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,6,0.9828767123287672,6,0.9828767123287672,0.08,1.0,6,"Model score normalized to 0.983. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.9828767123287672,"{""model_score_norm"": 0.9828590594548792, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",300433,蓝思科技,0.08,2026-06-15,[],0.0,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,600346,-0.15,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,18.53,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,7,0.9794520547945206,7,0.9794520547945206,0.08,0.85,7,"Model score normalized to 0.979. No usable news evidence. Balanced user receives lower score for high-risk asset. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=-0.150; position_adjustment_ratio=0.850. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.9794520547945206,"{""model_score_norm"": 0.979430871345855, ""news_adjustment"": 0.0, ""user_adjustment"": -0.15, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": -0.15, ""confidence_score"": 0.55}",600346,恒力石化,0.068,2026-06-15,[],-0.15,sample_user
"Position ratio comes only from news adjustment, user suitability, and AI reliability.",0.275,pending,,0.0,603993,0.0,"This output is for machine-learning research, financial data analysis, paper-trading validation, and project demonstration only. It is not investment advice and must not be used as a real trading instruction.",中,2026-06-16 04:49:49,20.92,2026-06-15,0.0,[],[],chronos_bolt_small,0.0,8,0.976027397260274,8,0.976027397260274,0.08,1.0,8,"Model score normalized to 0.976. No usable news evidence. User suitability constraints are neutral. effective_news_adjustment=0.000 from ai_reliability_weight=0.000 * news_adjustment=0.000. combined_adjustment=0.000; position_adjustment_ratio=1.000. Position ratio comes only from news adjustment, user suitability, and AI reliability.",,0.976027397260274,"{""model_score_norm"": 0.9760026832368309, ""news_adjustment"": 0.0, ""user_adjustment"": 0.0, ""effective_news_adjustment"": 0.0, ""combined_adjustment"": 0.0, ""confidence_score"": 0.55}",603993,洛阳钼业,0.08,2026-06-15,[],0.0,sample_user
