stock_code,stock_name,trade_date,original_score,original_rank,current_price,model_name,model_version,source,pred_score,score,pred_rank,rank,close,code,name,pred_5d_ret,up_prob,ret_5,ret_20,vol_20,drawdown_20
600066,宇通客车,2026-04-01,1.0,1,35.86,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0796289187577046,1.0,1,1,35.86,600066,宇通客车,,0.99,0.1164383561643835,0.2110773387369131,0.0304595175304177,0.0
601212,白银有色,2026-04-01,0.9965753424657534,2,8.12,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0767620051978317,0.9965753424657534,2,2,8.12,601212,白银有色,,0.99,0.0317662007623886,-0.2354048964218456,0.0321781385102776,-0.1992110453648916
600487,亨通光电,2026-04-01,0.9931506849315068,3,52.66,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0709287187710046,0.9931506849315068,3,3,52.66,600487,亨通光电,,0.99,0.1868379535722335,0.1081649831649831,0.0536010971955107,-0.0220984215413185
600522,中天科技,2026-04-01,0.9897260273972602,4,30.09,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.055701652628767,0.9897260273972602,4,4,30.09,600522,中天科技,,0.9897260273972602,0.1528735632183906,0.0451545675581799,0.0403492443252493,-0.0049603174603174
600489,中金黄金,2026-04-01,0.9863013698630136,5,26.71,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0461055082457722,0.9863013698630136,5,5,26.71,600489,中金黄金,,0.9863013698630136,0.0844498578968737,-0.2064765300059416,0.0336947205393409,-0.1728089191700216
601988,中国银行,2026-04-01,0.9828767123287672,6,5.87,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0440217277442269,0.9828767123287672,6,6,5.87,601988,中国银行,,0.9828767123287672,0.0731261425959781,0.0830258302583026,0.0123538895025886,0.0
600498,烽火通信,2026-04-01,0.9794520547945206,7,50.48,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0394519188570978,0.9794520547945206,7,7,50.48,600498,烽火通信,,0.9794520547945206,0.1472727272727272,-0.1006591840370569,0.0501468552023838,-0.136208076659822
603288,海天味业,2026-04-01,0.976027397260274,8,41.0,historical_backtest,zoo:chronos_bolt_small,historical_backtest_prediction,0.0317471343766815,0.976027397260274,8,8,41.0,603288,海天味业,,0.976027397260274,0.1186903137789905,0.1369938990571269,0.0225838761378109,0.0
