rank,date,code,name,close,pct_chg,pred_5d_ret,raw_score,up_prob,up_prob_calibrated,calibrated,calibration_method,score,confidence_score,confidence,confidence_detail,risk_score,risk_level,risk_detail,model_name,ret_5,ret_20,vol_20,drawdown_20,prediction_date
1,2026-06-15,603260,合盛硅业,46.39,6.988,0.17326408045484376,0.17326408045484376,0.99,0.99,False,cross_sectional_rank_fallback,1.0,0.677818493150685,中,"{""confidence_score"": 0.677818, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.98, ""ranking_position_component"": 1.0, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.474572, ""volatility_penalty_component"": 0.089041}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5254280821917808,中,"{""risk_score"": 0.525428, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.910959, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.94863, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.29762237762237764,0.11890979257115286,0.0416620811571731,0.0,2026-06-16
2,2026-06-15,600183,生益科技,166.41,10.0013,0.1319733249320958,0.1319733249320958,0.99,0.99,False,cross_sectional_rank_fallback,0.9965753424657534,0.6713801369863014,中,"{""confidence_score"": 0.67138, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.98, ""ranking_position_component"": 0.993151, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.461216, ""volatility_penalty_component"": 0.065068}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5387842465753425,中,"{""risk_score"": 0.538784, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.934932, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.989726, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.24130986125615395,0.6817584638706418,0.04680604965697373,0.0,2026-06-16
3,2026-06-15,600176,中国巨石,45.77,9.9976,0.10964128068731993,0.10964128068731993,0.99,0.99,False,cross_sectional_rank_fallback,0.9931506849315068,0.6651815068493151,中,"{""confidence_score"": 0.665182, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.98, ""ranking_position_component"": 0.986301, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.452483, ""volatility_penalty_component"": 0.034247}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5475171232876712,中,"{""risk_score"": 0.547517, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.965753, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.986301, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.2871203599550056,0.340656121851201,0.05215521356069256,0.0,2026-06-16
4,2026-06-15,600498,烽火通信,67.83,7.445,0.09687138998479594,0.09687138998479594,0.9897260273972602,0.9897260273972602,False,cross_sectional_rank_fallback,0.9897260273972602,0.6640239726027397,中,"{""confidence_score"": 0.664024, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.979452, ""ranking_position_component"": 0.979452, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.456079, ""volatility_penalty_component"": 0.030822}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5439212328767122,中,"{""risk_score"": 0.543921, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.969178, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.955479, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.24458715596330283,0.20758411963681667,0.05247446048684725,0.0,2026-06-16
5,2026-06-15,300408,三环集团,150.25,18.7747,0.08346024618347725,0.08346024618347725,0.9863013698630136,0.9863013698630136,False,cross_sectional_rank_fallback,0.9863013698630136,0.6543321917808219,中,"{""confidence_score"": 0.654332, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.972603, ""ranking_position_component"": 0.972603, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.440154, ""volatility_penalty_component"": 0.0}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5598458904109589,中,"{""risk_score"": 0.559846, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 1.0, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 1.0, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.22233973315977873,0.7093287827076222,0.07528088216654502,0.0,2026-06-16
6,2026-06-15,300433,蓝思科技,45.98,11.7647,0.08327129361960406,0.08327129361960406,0.9828767123287672,0.9828767123287672,False,cross_sectional_rank_fallback,0.9828767123287672,0.660873287671233,中,"{""confidence_score"": 0.660873, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.965753, ""ranking_position_component"": 0.965753, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.459161, ""volatility_penalty_component"": 0.061644}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5408390410958903,中,"{""risk_score"": 0.540839, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.938356, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.996575, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.0783302063789868,0.18811369509043918,0.04700983257437115,0.0,2026-06-16
7,2026-06-15,600346,恒力石化,18.53,6.1283,0.08243289146278543,0.08243289146278543,0.9794520547945206,0.9794520547945206,False,cross_sectional_rank_fallback,0.9794520547945206,0.6537671232876713,中,"{""confidence_score"": 0.653767, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.958904, ""ranking_position_component"": 0.958904, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.380822, ""volatility_penalty_component"": 0.181507}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.6191780821917808,高,"{""risk_score"": 0.619178, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.818493, ""drawdown_component"": 0.537671, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.928082, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.11626506024096384,-0.09653827401267678,0.03232454532125594,-0.07534930139720553,2026-06-16
8,2026-06-15,603993,洛阳钼业,20.92,9.4715,0.07984200475185332,0.07984200475185332,0.976027397260274,0.976027397260274,False,cross_sectional_rank_fallback,0.976027397260274,0.6512500000000001,中,"{""confidence_score"": 0.65125, ""probability_column"": ""up_prob_calibrated"", ""thresholds"": {""high"": 0.7, ""medium"": 0.45}, ""components"": {""probability_strength_component"": 0.952055, ""ranking_position_component"": 0.952055, ""calibration_quality_component"": 0.4, ""risk_penalty_component"": 0.455565, ""volatility_penalty_component"": 0.041096}, ""weights"": {""probability_strength_component"": 0.3, ""ranking_position_component"": 0.2, ""calibration_quality_component"": 0.2, ""risk_penalty_component"": 0.2, ""volatility_penalty_component"": 0.1}, ""calibration_report"": {""calibrated"": false, ""method"": ""none""}}",0.5444349315068493,中,"{""risk_score"": 0.544435, ""risk_level_rule"": ""CSI300 cross-sectional percentile: >=80% high, 50%-80% medium, <50% low"", ""components"": {""realized_volatility_component"": 0.958904, ""drawdown_component"": 0.039384, ""liquidity_component"": 0.5, ""recent_return_shock_component"": 0.979452, ""news_risk_component"": 0.0}, ""weights"": {""realized_volatility_component"": 0.3, ""drawdown_component"": 0.25, ""liquidity_component"": 0.2, ""recent_return_shock_component"": 0.15, ""news_risk_component"": 0.1}}",chronos_bolt_small,0.23860272350503253,0.142545057345713,0.04891814443010893,0.0,2026-06-16
