code,ts_code,name,source,effective_date,fetched_at
002460,002460.SZ,赣锋锂业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002463,002463.SZ,沪电股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002466,002466.SZ,天齐锂业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002475,002475.SZ,立讯精密,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002493,002493.SZ,荣盛石化,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002532,002532.SZ,天山铝业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002558,002558.SZ,巨人网络,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002594,002594.SZ,比亚迪,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002600,002600.SZ,领益智造,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002602,002602.SZ,世纪华通,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002625,002625.SZ,光启技术,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002648,002648.SZ,卫星化学,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002709,002709.SZ,天赐材料,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002714,002714.SZ,牧原股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002736,002736.SZ,国信证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002837,002837.SZ,英维克,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002916,002916.SZ,深南电路,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002920,002920.SZ,德赛西威,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
002938,002938.SZ,鹏鼎控股,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
003816,003816.SZ,中国广核,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300014,300014.SZ,亿纬锂能,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300015,300015.SZ,爱尔眼科,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300033,300033.SZ,同花顺,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300059,300059.SZ,东方财富,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300122,300122.SZ,智飞生物,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300124,300124.SZ,汇川技术,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300251,300251.SZ,光线传媒,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300274,300274.SZ,阳光电源,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300308,300308.SZ,中际旭创,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300316,300316.SZ,晶盛机电,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300394,300394.SZ,天孚通信,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300408,300408.SZ,三环集团,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
